Level;X;Y
1;3;4
1;4;3
1;5;3
1;6;3
1;7;3
1;8;3
1;9;3
1;10;3
1;11;3
1;12;3
1;12;2
1;12;1
1;12;0
1;3;5
1;3;6
1;3;7
1;3;8
1;3;9
1;3;10
1;3;11
1;3;12
1;3;13
1;3;14
1;3;15
1;3;16
1;3;17
1;3;18
1;4;19
1;5;20
1;6;20
1;7;19
1;7;18
1;7;17
1;7;16
1;8;16
1;9;16
1;10;16
1;10;17
1;10;18
1;11;19
1;12;19
1;13;19
1;14;19
1;15;19
1;16;19
1;17;19
1;18;19
1;19;19
1;20;19
1;21;19
1;22;18
1;22;17
1;22;16
1;22;15
1;22;14
1;22;13
1;22;12
1;22;11
1;22;10
1;22;9
1;22;8
1;22;7
1;22;6
1;22;5
1;22;4
1;21;3
1;20;3
1;19;3
1;18;3
1;17;3
1;16;3
1;15;3
1;15;2
1;15;1
1;15;0
